CRN,Subj,Crse,Sect,Part of Term,Session,Title,Prof,Day  Beg   End   Bldg Room  (Type),Campus,AddlInfo,Hrs,Max,MaxResv,LeftResv,Enr,Avail,WaitCap,WaitCount,WaitAvail,Room Cap
40508,MUS,01422,  5,"Full Term ... 
06-SEP to 21-DEC",Day,"PERFORM APPL INSTRUMENT 7Music majors, minors, and Music Industry students only.Cello
","Erwin, Joanne H", ,Main,,3,5,0,0,0,5,0,0,0,
40510,MUS,01422,  6,"Full Term ... 
06-SEP to 21-DEC",Day,"PERFORM APPL INSTRUMENT 7Music majors, minors, and Music Industry students only.Bassoon
","Feingold, Zachary L", ,Main,,3,5,0,0,0,5,0,0,0,
40511,MUS,01422,  7,"Full Term ... 
06-SEP to 21-DEC",Day,"PERFORM APPL INSTRUMENT 7Music majors, minors, and Music Industry students only.Vibraphone
","Gillece, Behn Patrick", ,Main,,3,5,0,0,0,5,0,0,0,
40512,MUS,01422,  8,"Full Term ... 
06-SEP to 21-DEC",Day,"PERFORM APPL INSTRUMENT 7Music majors, minors, and Music Industry students only.Percussion
","Godbole, Malavika", ,Main,,3,5,0,0,0,5,0,0,0,
40513,MUS,01422,  9,"Full Term ... 
06-SEP to 21-DEC",Day,"PERFORM APPL INSTRUMENT 7Music majors, minors, and Music Industry students only.Saxophone
","Guida, John J", ,Main,,3,5,0,0,0,5,0,0,0,
40514,MUS,01422, 10,"Full Term ... 
06-SEP to 21-DEC",Day,"PERFORM APPL INSTRUMENT 7Music majors, minors, and Music Industry students only.Clarinet
","Huebner, Rie Suzuki", ,Main,,3,5,0,0,0,5,0,0,0,
40515,MUS,01422, 11,"Full Term ... 
06-SEP to 21-DEC",Day,"PERFORM APPL INSTRUMENT 7Music majors, minors, and Music Industry students only.Trombone
","Linn, Richard", ,Main,,3,5,0,0,0,5,0,0,0,
40516,MUS,01422, 12,"Full Term ... 
06-SEP to 21-DEC",Day,"PERFORM APPL INSTRUMENT 7Music majors, minors, and Music Industry students only.Bass
","Mapp, Douglas", ,Main,,3,5,0,0,0,5,0,0,0,
40518,MUS,01422, 13,"Full Term ... 
06-SEP to 21-DEC",Day,"PERFORM APPL INSTRUMENT 7Music majors, minors, and Music Industry students only.Guitar
","Cockerham, Nicholas Adam", ,Main,,3,5,0,0,0,5,0,0,0,
40519,MUS,01422, 14,"Full Term ... 
06-SEP to 21-DEC",Day,"PERFORM APPL INSTRUMENT 7Music majors, minors, and Music Industry students only.Guitar
","Mayes, Kathleen l", ,Main,,3,5,0,0,0,5,0,0,0,
40521,MUS,01422, 15,"Full Term ... 
06-SEP to 21-DEC",Day,"PERFORM APPL INSTRUMENT 7Music majors, minors, and Music Industry students only.Percussion
","Oliveira, Fabio Fonseca de", ,Main,,3,5,0,0,0,5,0,0,0,
40523,MUS,01422, 16,"Full Term ... 
06-SEP to 21-DEC",Day,"PERFORM APPL INSTRUMENT 7Music majors, minors, and Music Industry students only.Jazz Piano
","Schneider, Dean P", ,Main,,3,5,0,0,0,5,0,0,0,
40524,MUS,01422, 17,"Full Term ... 
06-SEP to 21-DEC",Day,"PERFORM APPL INSTRUMENT 7Music majors, minors, and Music Industry students only.Violin/Viola
","Schwarz, Timothy John", ,Main,,3,5,0,0,0,5,0,0,0,
40525,MUS,01422, 18,"Full Term ... 
06-SEP to 21-DEC",Day,"PERFORM APPL INSTRUMENT 7Music majors, minors, and Music Industry students only.Oboe
","Trudeau, Marie Charmaine", ,Main,,3,5,0,0,0,5,0,0,0,
40526,MUS,01422, 19,"Full Term ... 
06-SEP to 21-DEC",Day,"PERFORM APPL INSTRUMENT 7Music majors, minors, and Music Industry students only.Piano
","Timofeev, Alexander V.", ,Main,,3,5,0,0,0,5,0,0,0,
40527,MUS,01422, 20,"Full Term ... 
06-SEP to 21-DEC",Day,"PERFORM APPL INSTRUMENT 7Music majors, minors, and Music Industry students only.Organ
","Turk, Gordon H", ,Main,,3,5,0,0,0,5,0,0,0,
40528,MUS,01422, 21,"Full Term ... 
06-SEP to 21-DEC",Day,"PERFORM APPL INSTRUMENT 7Music majors, minors, and Music Industry students only.Horn
","Wilson, Lyndsie E", ,Main,,3,5,0,0,0,5,0,0,0,
40529,MUS,01422, 22,"Full Term ... 
06-SEP to 21-DEC",Day,"PERFORM APPL INSTRUMENT 7Music majors, minors, and Music Industry students only.Piano
","Zuponcic, Veda", ,Main,,3,5,0,0,0,5,0,0,0,
40530,MUS,01422, 23,"Full Term ... 
06-SEP to 21-DEC",Day,"PERFORM APPL INSTRUMENT 7Music majors, minors, and Music Industry students only.Saxophone
","Even, Noa", ,Main,,3,5,0,0,0,5,0,0,0,
40531,MUS,01422, 24,"Full Term ... 
06-SEP to 21-DEC",Day,"PERFORM APPL INSTRUMENT 7Music majors, minors, and Music Industry students only.Flute
","Loewy, Susanna L", ,Main,,3,5,0,0,0,5,0,0,0,
40532,MUS,01422, 25,"Full Term ... 
06-SEP to 21-DEC",Day,"PERFORM APPL INSTRUMENT 7Music majors, minors, and Music Industry students only.Euphonium
","Fahrner, Michael Ian", ,Main,,3,5,0,0,0,5,0,0,0,
40537,MUS,01423,  1,"Full Term ... 
06-SEP to 21-DEC",Day,"PERFORM APPL INSTRUMENT 8Music majors, minors, and Music Industry students only.Trumpet
","Appleby-Wineberg, Bryan Kent", ,Main,,3,5,0,0,0,5,0,0,0,
40538,MUS,01423,  2,"Full Term ... 
06-SEP to 21-DEC",Day,"PERFORM APPL INSTRUMENT 8Music majors, minors, and Music Industry students only.Cello
","Atanasiu, George", ,Main,,3,5,0,0,0,5,0,0,0,
40539,MUS,01423,  3,"Full Term ... 
06-SEP to 21-DEC",Day,"PERFORM APPL INSTRUMENT 8Music majors, minors, and Music Industry students only.Violin/Viola
","Atanasiu, Lenuta C.", ,Main,,3,5,0,0,0,5,0,0,0,
40540,MUS,01423,  4,"Full Term ... 
06-SEP to 21-DEC",Day,"PERFORM APPL INSTRUMENT 8Music majors, minors, and Music Industry students only.Tuba
","Brown, Brian E", ,Main,,3,5,0,0,0,5,0,0,0,
40541,MUS,01423,  5,"Full Term ... 
06-SEP to 21-DEC",Day,"PERFORM APPL INSTRUMENT 8Music majors, minors, and Music Industry students only.Cello
","Erwin, Joanne H", ,Main,,3,5,0,0,0,5,0,0,0,
40542,MUS,01423,  6,"Full Term ... 
06-SEP to 21-DEC",Day,"PERFORM APPL INSTRUMENT 8Music majors, minors, and Music Industry students only.Bassoon
","Feingold, Zachary L", ,Main,,3,5,0,0,0,5,0,0,0,
40543,MUS,01423,  7,"Full Term ... 
06-SEP to 21-DEC",Day,"PERFORM APPL INSTRUMENT 8Music majors, minors, and Music Industry students only.Vibraphone
","Gillece, Behn Patrick", ,Main,,3,5,0,0,0,5,0,0,0,
40544,MUS,01423,  8,"Full Term ... 
06-SEP to 21-DEC",Day,"PERFORM APPL INSTRUMENT 8Music majors, minors, and Music Industry students only.Percussion
","Godbole, Malavika", ,Main,,3,5,0,0,0,5,0,0,0,
40545,MUS,01423,  9,"Full Term ... 
06-SEP to 21-DEC",Day,"PERFORM APPL INSTRUMENT 8Music majors, minors, and Music Industry students only.Saxophone
","Guida, John J", ,Main,,3,5,0,0,0,5,0,0,0,
40546,MUS,01423, 10,"Full Term ... 
06-SEP to 21-DEC",Day,"PERFORM APPL INSTRUMENT 8Music majors, minors, and Music Industry students only.Clarinet
","Huebner, Rie Suzuki", ,Main,,3,5,0,0,0,5,0,0,0,
40547,MUS,01423, 11,"Full Term ... 
06-SEP to 21-DEC",Day,"PERFORM APPL INSTRUMENT 8Music majors, minors, and Music Industry students only.Trombone
","Linn, Richard", ,Main,,3,5,0,0,0,5,0,0,0,
40549,MUS,01423, 12,"Full Term ... 
06-SEP to 21-DEC",Day,"PERFORM APPL INSTRUMENT 8Music majors, minors, and Music Industry students only.Bass
","Godbole, Malavika", ,Main,,3,5,0,0,0,5,0,0,0,
40550,MUS,01423, 13,"Full Term ... 
06-SEP to 21-DEC",Day,"PERFORM APPL INSTRUMENT 8Music majors, minors, and Music Industry students only.Guitar
","Cockerham, Nicholas Adam", ,Main,,3,5,0,0,0,5,0,0,0,
40552,MUS,01423, 14,"Full Term ... 
06-SEP to 21-DEC",Day,"PERFORM APPL INSTRUMENT 8Music majors, minors, and Music Industry students only.Guitar
","Mayes, Kathleen l", ,Main,,3,5,0,0,0,5,0,0,0,
40553,MUS,01423, 15,"Full Term ... 
06-SEP to 21-DEC",Day,"PERFORM APPL INSTRUMENT 8Music majors, minors, and Music Industry students only.Percussion
","Oliveira, Fabio Fonseca de", ,Main,,3,5,0,0,0,5,0,0,0,
40555,MUS,01423, 16,"Full Term ... 
06-SEP to 21-DEC",Day,"PERFORM APPL INSTRUMENT 8Music majors, minors, and Music Industry students only.Jazz Piano
","Schneider, Dean P", ,Main,,3,5,0,0,0,5,0,0,0,
40556,MUS,01423, 17,"Full Term ... 
06-SEP to 21-DEC",Day,"PERFORM APPL INSTRUMENT 8Music majors, minors, and Music Industry students only.Violin/Viola
","Schwarz, Timothy John", ,Main,,3,5,0,0,0,5,0,0,0,
40558,MUS,01423, 18,"Full Term ... 
06-SEP to 21-DEC",Day,"PERFORM APPL INSTRUMENT 8Music majors, minors, and Music Industry students only.Oboe
","Trudeau, Marie Charmaine", ,Main,,3,5,0,0,0,5,0,0,0,
40559,MUS,01423, 19,"Full Term ... 
06-SEP to 21-DEC",Day,"PERFORM APPL INSTRUMENT 8Music majors, minors, and Music Industry students only.Piano
","Timofeev, Alexander V.", ,Main,,3,5,0,0,0,5,0,0,0,
40561,MUS,01423, 20,"Full Term ... 
06-SEP to 21-DEC",Day,"PERFORM APPL INSTRUMENT 8Music majors, minors, and Music Industry students only.Organ
","Turk, Gordon H", ,Main,,3,5,0,0,0,5,0,0,0,
40562,MUS,01423, 21,"Full Term ... 
06-SEP to 21-DEC",Day,"PERFORM APPL INSTRUMENT 8Music majors, minors, and Music Industry students only.Horn
","Wilson, Lyndsie E", ,Main,,3,5,0,0,0,5,0,0,0,
40564,MUS,01423, 22,"Full Term ... 
06-SEP to 21-DEC",Day,"PERFORM APPL INSTRUMENT 8Music majors, minors, and Music Industry students only.Piano
","Zuponcic, Veda", ,Main,,3,5,0,0,0,5,0,0,0,
40565,MUS,01423, 23,"Full Term ... 
06-SEP to 21-DEC",Day,"PERFORM APPL INSTRUMENT 8Music majors, minors, and Music Industry students only.Saxophone
","Even, Noa", ,Main,,3,5,0,0,0,5,0,0,0,
